2050,Allison Williams,104,1
2053,Emmy Rossum,142,2
2069,Natalie Dormer,140,2
2097,Cece Frey,11,1
2112,Jennel Garcia,75,1
2123,Claire Holt,107,2
2141,Lily Loveless,10,1
2172,Maia Mitchell,46,1
2173,Maite Perroni,232,3
2174,Sophie Turner,307,3
2183,Charli XCX,358,4
2186,Olivia Thirlby,72,1
2220,Meghan Trainor,68,1
2221,Jamie Chung,70,1
2225,Genesis Rodriguez,27,1
2226,Laura Marano,138,2
2227,Annabelle Wallis,54,1
2228,Marion Cotillard,90,1
2229,Sophie Cookson,39,1
2231,Kate Moss,111,2
2232,Meghan Collison,115,2
2233,Karolina Waz,11,1
2236,Angelina Jolie,189,2
2237,Jennifer Aniston,129,2
2238,Naomi Watts,102,1
2243,Lacey Chabert,10,1
2264,Jane Levy,44,1
2265,Rose Byrne,97,1
2280,Addison Timlin,17,1
2283,Cate Blanchett,198,2
2284,ГЂstrid BergГЁs-Frisbey,51,1
2285,Gillian Jacobs,36,1
2287,Liv Tyler,91,1
2289,Kate Mara,101,1
2290,Hailee Steinfeld,373,4
2294,Mariah Carey,20,1
2299,Kim Kardashian,152,2
2300,Beth Behrs,13,1
2302,Lea Seydoux,144,2
2312,Becky G,155,2
2313,Laura Vandervoort,30,1
2322,Gina Rodriguez,81,1
2325,Lena Dunham,40,1
2328,Adele Exarchopoulos,111,2
2329,Kylie Jenner,190,2
2330,Elizabeth Banks,134,2
2333,Zoey Deutch,268,3
2336,Julianne Hough,74,1
2338,Greta Gerwig,19,1
2339,Maika Monroe,166,2
2340,Emma Fitzpatrick,7,1
2347,Freida Pinto,29,1
2348,ZoГ« Kravitz,60,1
2349,Kate Winslet,46,1
2351,Khloe Kardashian,74,1
2352,Olivia Palermo,45,1
2357,Lily James,184,2
2363,Brit Marling,117,2
2364,Banks,57,1
2377,Michelle Williams,59,1
2378,Margot Robbie,451,5
2395,Suki Waterhouse,103,1
2396,Aubrey Plaza,88,1
2397,Nicola Peltz,118,2
2398,Eleanor Tomlinson,51,1
2399,Elisha Cuthbert,15,1
2410,Taissa Farmiga,44,1
2411,Maisie Williams,227,3
2417,Willa Holland,47,1
2421,Camila Cabello,171,2
2423,Brenda Song,55,1
2429,Heidi Klum,49,1
2430,Lana Parrilla,45,1
2434,Alicia Vikander,430,5
2435,Gal Gadot,282,3
2437,Krysten Ritter,43,1
2442,Winona Ryder,53,1
2448,Gigi Hadid,535,6
2452,Jessica Lowndes,151,2
2453,Hailey Baldwin,327,4
2454,Sabrina Carpenter,531,6
2455,Sarah Paulson,95,1
2456,Zara Larsson,139,2
2459,Gillian Anderson,65,1
2467,Dua Lipa,403,4
2471,Lili Reinhart,439,5
2472,Lana Condor,173,2
2476,Camila Mendes,198,2
2477,Madison Beer,237,3
2478,Maddie Hasson,38,1
2479,Madelaine Petsch,691,7
2481,Josephine Langford,78,1
2485,Alycia Debnam-Carey,102,1
2487,Emily Bett Rickards,54,1
2496,Kiernan Shipka,190,2
2497,Lauren German,16,1
2500,Katherine Langford,111,2
2501,Madison Pettis,64,1
2502,Malin Akerman,65,1
2503,Tiera Skovbye,8,1
2504,Maria Menounos,60,1
2505,Melanie Lynskey,3,1
2506,Melissa Joan Hart,80,1
2507,Melissa Rauch,11,1
2508,Mena Suvari,143,2
2509,Michelle Dockery,68,1
2510,Michelle Pfeiffer,17,1
2511,Noah Cyrus,108,2
2512,Minka Kelly,72,1
